source_row_id,original_date,description,amount_c,amount_d,source_amount,original_category,source_note,classification_decision,unit_scope,evidence_status,journalized,mapped_account
3,2025-08-26,Penarikan Uang,20000000.0,0.0,20000000.0,Kas Tunai,,CATATAN PENARIKAN SUMBER — TIDAK DIJURNAL DALAM MODEL BANK LANGSUNG,REKONSILIASI (BUKAN UNIT USAHA),CATATAN SUMBER — penarikan tidak dijurnal; model memakai Bank Jatim langsung,TIDAK,1.1.01.06
4,2025-08-27,Belanja ATK,350000.0,0.0,350000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN ATK DAN PERSIAPAN,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.02.01
5,2025-08-28,Sewa lahan kandang,8000000.0,0.0,8000000.0,,,TERKLASIFIKASI — BELANJA SUMBER — SEWA DIBAYAR DI MUKA — LAHAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.07.01
6,2025-08-29,Bambu (80 Item),1440000.0,0.0,1440000.0,Biaya Produksi,Dana Invest 1: | 100000000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
7,2025-08-30,Seng Talang uk. 90 cm (25 Meter),1250000.0,0.0,1250000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
8,2025-08-31,Pagar Anyaman Bambu (30 Item),750000.0,0.0,750000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
9,2025-09-01,Asbes (35 Item),1400000.0,0.0,1400000.0,Biaya Produksi,20000000,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
10,2025-09-02,Paku (13 Kg),390000.0,0.0,390000.0,Biaya Produksi,25000000,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
11,2025-09-03,Kayu kamelina (8 Item),1040000.0,0.0,1040000.0,Biaya Produksi,25270000,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
12,2025-09-04,Kayu uk. 6 meter (20 Item),2800000.0,0.0,2800000.0,Biaya Produksi,15230000,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
13,2025-09-05,Paras Cor (20 Item),500000.0,0.0,500000.0,Biaya Produksi,14440000,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
14,2025-09-16,Ember air anti pecah (15 Item),225000.0,0.0,225000.0,Biaya Produksi,99940000,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
15,2025-09-17,Jaring Peneduh (Paranet - 8 Meter),160000.0,0.0,160000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
16,2025-09-20,Kabel Instalasi Listrik,370000.0,0.0,370000.0,Biaya Produksi,60000,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
17,2025-09-28,Jasa pasang instalasi listrik,175000.0,0.0,175000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
18,2025-09-29,Biaya konsumsi pembangunan,650000.0,0.0,650000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN KONSUMSI PEMBANGUNAN,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.27
19,2025-09-30,Biaya Transport Keseluruhan,500000.0,0.0,500000.0,Ops,Dana invest 2: | 30000000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
20,2025-10-02,Penarikan Uang,25000000.0,0.0,25000000.0,Kas Tunai,,CATATAN PENARIKAN SUMBER — TIDAK DIJURNAL DALAM MODEL BANK LANGSUNG,REKONSILIASI (BUKAN UNIT USAHA),CATATAN SUMBER — penarikan tidak dijurnal; model memakai Bank Jatim langsung,TIDAK,1.1.01.06
21,2025-10-03,Biaya Tenaga Kerja (Tukang),7500000.0,0.0,7500000.0,Biaya Produksi,10000000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
22,2025-10-04,Biaya Tenaga Kerja (Pembantu Tukang),6000000.0,0.0,6000000.0,Biaya Produksi,10000000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET DALAM PENYELESAIAN — KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.02
23,2025-10-05,Pelatihan Breeding Kambing + Konsumsi,2400000.0,0.0,2400000.0,Biaya Produksi,10000000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PELATIHAN PEMBIBITAN,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.28
24,2025-10-06,Kambing Betina Siap Beranak,2500000.0,0.0,2500000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
25,2025-10-07,Kambing Betina Siap Beranak,2500000.0,0.0,2500000.0,Aset Biologis/Persediaan,Sisa: | 0.0,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
26,2025-10-08,Kambing Jantan Siap Kawin,3700000.0,0.0,3700000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
27,2025-10-14,Konsumsi tim Monitoring dan Evaluasi,400000.0,0.0,400000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PEMANTAUAN DAN EVALUASI,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.25
28,2025-10-15,Penarikan Uang,25000000.0,0.0,25000000.0,Kas Tunai,,CATATAN PENARIKAN SUMBER — TIDAK DIJURNAL DALAM MODEL BANK LANGSUNG,REKONSILIASI (BUKAN UNIT USAHA),CATATAN SUMBER — penarikan tidak dijurnal; model memakai Bank Jatim langsung,TIDAK,1.1.01.06
29,2025-10-16,Biaya Persiapan dan Penanaman Bibit Padi,1000000.0,0.0,1000000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BIAYA PRODUKSI DALAM PROSES — SIKLUS 1,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.09.01
